Year,Month,Day,Unit,Rep,Emerg_Numb
2021,5,11,102,1,46
2021,5,11,105,1,72
2021,5,11,106,1,85
2021,5,11,107,1,92
2021,5,11,110,1,52
2021,5,11,113,1,61
2021,5,11,204,2,5
2021,5,11,209,2,74
2021,5,11,214,2,24
2021,5,11,215,2,45
2021,5,11,218,2,90
2021,5,11,302,3,29
2021,5,11,303,3,28
2021,5,11,309,3,86
2021,5,11,310,3,70
2021,5,11,312,3,46
2021,5,11,315,3,83
2021,5,11,401,4,75
2021,5,11,406,4,20
2021,5,11,412,4,72
2021,5,11,413,4,71
2021,5,11,414,4,86
2021,5,11,415,4,18
2021,5,20,102,1,43
2021,5,20,105,1,75
2021,5,20,106,1,88
2021,5,20,107,1,93
2021,5,20,110,1,47
2021,5,20,113,1,62
2021,5,20,204,2,1
2021,5,20,205,2,41
2021,5,20,209,2,79
2021,5,20,214,2,17
2021,5,20,215,2,44
2021,5,20,218,2,92
2021,5,20,302,3,31
2021,5,20,303,3,37
2021,5,20,309,3,86
2021,5,20,310,3,57
2021,5,20,312,3,54
2021,5,20,315,3,72
2021,5,20,317,3,57
2021,5,20,401,4,62
2021,5,20,406,4,19
2021,5,20,412,4,60
2021,5,20,413,4,66
2021,5,20,414,4,76
2021,5,20,415,4,16
