Year,Month,Day,Unit,Rep,Height_cm
2021,5,28,102,1,4.3
2021,5,28,102,2,5
2021,5,28,102,3,3.5
2021,5,28,102,4,4.3
2021,5,28,102,5,5.4
2021,5,28,102,6,3.5
2021,5,28,102,7,2.5
2021,5,28,102,8,5
2021,5,28,102,9,5.5
2021,5,28,102,10,4
2021,5,28,105,1,5.5
2021,5,28,105,2,5.5
2021,5,28,105,3,3.5
2021,5,28,105,4,5
2021,5,28,105,5,5
2021,5,28,105,6,4.2
2021,5,28,105,7,4
2021,5,28,105,8,4.5
2021,5,28,105,9,4
2021,5,28,105,10,4.3
2021,5,28,106,1,5
2021,5,28,106,2,5.5
2021,5,28,106,3,4
2021,5,28,106,4,3
2021,5,28,106,5,4.8
2021,5,28,106,6,4.5
2021,5,28,106,7,5.5
2021,5,28,106,8,4
2021,5,28,106,9,4.8
2021,5,28,106,10,3.8
2021,5,28,107,1,6.5
2021,5,28,107,2,5.5
2021,5,28,107,3,6
2021,5,28,107,4,4.9
2021,5,28,107,5,5.5
2021,5,28,107,6,7
2021,5,28,107,7,3
2021,5,28,107,8,5.5
2021,5,28,107,9,4
2021,5,28,107,10,4.8
2021,5,28,110,1,4.5
2021,5,28,110,2,4
2021,5,28,110,3,3.5
2021,5,28,110,4,4.5
2021,5,28,110,5,5
2021,5,28,110,6,5.5
2021,5,28,110,7,3
2021,5,28,110,8,5
2021,5,28,110,9,4.2
2021,5,28,110,10,4.3
2021,5,28,113,1,3.5
2021,5,28,113,2,4
2021,5,28,113,3,4
2021,5,28,113,4,4.5
2021,5,28,113,5,3
2021,5,28,113,6,5
2021,5,28,113,7,3
2021,5,28,113,8,4.5
2021,5,28,113,9,2.5
2021,5,28,113,10,4.5
2021,5,28,204,1,3.5
2021,5,28,205,1,4.5
2021,5,28,205,2,4
2021,5,28,205,3,3.5
2021,5,28,205,4,4.5
2021,5,28,205,5,6.5
2021,5,28,205,6,3
2021,5,28,205,7,4
2021,5,28,205,8,4
2021,5,28,205,9,4
2021,5,28,209,1,5.5
2021,5,28,209,2,4.5
2021,5,28,209,3,4
2021,5,28,209,4,4.5
2021,5,28,209,5,4.5
2021,5,28,209,6,5.5
2021,5,28,209,7,5
2021,5,28,209,8,4
2021,5,28,209,9,4
2021,5,28,209,10,3
2021,5,28,214,1,5
2021,5,28,214,2,5.5
2021,5,28,214,3,5
2021,5,28,214,4,3
2021,5,28,214,5,3.5
2021,5,28,214,6,5
2021,5,28,214,7,4.5
2021,5,28,214,8,4.5
2021,5,28,214,9,7
2021,5,28,214,10,5.5
2021,5,28,215,1,3
2021,5,28,215,2,4
2021,5,28,215,3,4
2021,5,28,215,4,4
2021,5,28,215,5,2.5
2021,5,28,215,6,4
2021,5,28,215,7,5
2021,5,28,215,8,5
2021,5,28,215,9,5
2021,5,28,215,10,7
2021,5,28,218,1,5
2021,5,28,218,2,2.5
2021,5,28,218,3,4
2021,5,28,218,4,4.5
2021,5,28,218,5,5.5
2021,5,28,218,6,5
2021,5,28,218,7,5.5
2021,5,28,218,8,5.5
2021,5,28,218,9,5
2021,5,28,218,10,4.5
2021,5,28,302,1,5
2021,5,28,302,2,4.5
2021,5,28,302,3,3
2021,5,28,302,4,4
2021,5,28,302,5,5.5
2021,5,28,302,6,4.3
2021,5,28,302,7,4
2021,5,28,302,8,4.5
2021,5,28,303,1,5.5
2021,5,28,303,2,5
2021,5,28,303,3,5
2021,5,28,303,4,4.5
2021,5,28,303,5,4.5
2021,5,28,303,6,2.5
2021,5,28,303,7,3.8
2021,5,28,303,8,4.5
2021,5,28,303,9,5
2021,5,28,303,10,2.5
2021,5,28,309,1,5.5
2021,5,28,309,2,4
2021,5,28,309,3,4
2021,5,28,309,4,5
2021,5,28,309,5,5.5
2021,5,28,309,6,4
2021,5,28,309,7,4
2021,5,28,309,8,4
2021,5,28,309,9,4
2021,5,28,309,10,3.5
2021,5,28,310,1,4
2021,5,28,310,2,3
2021,5,28,310,3,3
2021,5,28,310,4,3
2021,5,28,310,5,4
2021,5,28,310,6,4.5
2021,5,28,310,7,3.5
2021,5,28,310,8,5
2021,5,28,310,9,3
2021,5,28,310,10,4.5
2021,5,28,312,1,5.5
2021,5,28,312,2,4
2021,5,28,312,3,4.5
2021,5,28,312,4,5.5
2021,5,28,312,5,5
2021,5,28,312,6,5.2
2021,5,28,312,7,3.5
2021,5,28,312,8,4
2021,5,28,312,9,4
2021,5,28,312,10,4.5
2021,5,28,315,1,6
2021,5,28,315,2,5
2021,5,28,315,3,3.5
2021,5,28,315,4,4.5
2021,5,28,315,5,5
2021,5,28,315,6,4
2021,5,28,315,7,5.5
2021,5,28,315,8,4
2021,5,28,315,9,5
2021,5,28,315,10,5.5
2021,5,28,317,1,5
2021,5,28,317,2,3.5
2021,5,28,317,3,4
2021,5,28,317,4,5
2021,5,28,317,5,3.5
2021,5,28,317,6,5.5
2021,5,28,317,7,3.5
2021,5,28,317,8,5
2021,5,28,317,9,4
2021,5,28,317,10,4.5
2021,5,28,401,1,4
2021,5,28,401,2,3.5
2021,5,28,401,3,5
2021,5,28,401,4,4.5
2021,5,28,401,5,4.5
2021,5,28,401,6,3.5
2021,5,28,401,7,4
2021,5,28,401,8,3.5
2021,5,28,401,9,4.5
2021,5,28,401,10,4
2021,5,28,406,1,3
2021,5,28,406,2,4.5
2021,5,28,406,3,5
2021,5,28,406,4,4
2021,5,28,406,5,4.5
2021,5,28,412,1,4
2021,5,28,412,2,4.5
2021,5,28,412,3,4.5
2021,5,28,412,4,5
2021,5,28,412,5,6.5
2021,5,28,412,6,5
2021,5,28,413,1,4
2021,5,28,413,2,4.2
2021,5,28,413,3,3.5
2021,5,28,413,4,6.5
2021,5,28,413,5,4
2021,5,28,413,6,3.5
2021,5,28,413,7,4
2021,5,28,413,8,6
2021,5,28,413,9,6.5
2021,5,28,413,10,5
2021,5,28,414,1,3.2
2021,5,28,414,2,3.5
2021,5,28,414,3,4.5
2021,5,28,414,4,5
2021,5,28,414,5,4
2021,5,28,414,6,4
2021,5,28,414,7,4
2021,5,28,414,8,4.5
2021,5,28,414,9,2.5
2021,5,28,414,10,4
2021,5,28,415,1,6
2021,5,28,415,2,4.2
2021,5,28,415,3,6
2021,5,28,415,4,5
2021,6,3,102,1,8
2021,6,3,102,2,11
2021,6,3,102,3,10.5
2021,6,3,102,4,12.8
2021,6,3,102,5,7.5
2021,6,3,102,6,7
2021,6,3,102,7,4
2021,6,3,102,8,9.2
2021,6,3,102,9,11
2021,6,3,102,10,5.5
2021,6,3,105,1,11
2021,6,3,105,2,11.4
2021,6,3,105,3,9.3
2021,6,3,105,4,8.5
2021,6,3,105,5,6.3
2021,6,3,105,6,7.5
2021,6,3,105,7,8
2021,6,3,105,8,5.5
2021,6,3,105,9,7.5
2021,6,3,105,10,9.5
2021,6,3,106,1,9.4
2021,6,3,106,2,12.5
2021,6,3,106,3,4
2021,6,3,106,4,8.5
2021,6,3,106,5,6.5
2021,6,3,106,6,9
2021,6,3,106,7,9.8
2021,6,3,106,8,9
2021,6,3,106,9,7.5
2021,6,3,106,10,9
2021,6,3,107,1,15.5
2021,6,3,107,2,14
2021,6,3,107,3,11.5
2021,6,3,107,4,13.5
2021,6,3,107,5,10
2021,6,3,107,6,13.2
2021,6,3,107,7,10
2021,6,3,107,8,6
2021,6,3,107,9,9.5
2021,6,3,107,10,10
2021,6,3,110,1,7
2021,6,3,110,2,6.5
