Year,Month,Day,Unit,Rep,Height_cm
2021,5,28,101,1,14.3
2021,5,28,101,2,17.8
2021,5,28,101,3,17.9
2021,5,28,103,1,26.5
2021,5,28,103,2,17.2
2021,5,28,103,3,30
2021,5,28,104,1,22.6
2021,5,28,104,2,30.5
2021,5,28,104,3,18.5
2021,5,28,111,1,27.5
2021,5,28,111,2,28
2021,5,28,111,3,27.5
2021,5,28,117,1,27.5
2021,5,28,117,2,30.5
2021,5,28,117,3,27
2021,5,28,118,1,24
2021,5,28,118,2,26.5
2021,5,28,118,3,23
2021,5,28,203,1,29
2021,5,28,203,2,29.5
2021,5,28,203,3,26
2021,5,28,207,1,18
2021,5,28,207,2,18.5
2021,5,28,207,3,24.5
2021,5,28,208,1,27.5
2021,5,28,208,2,26.5
2021,5,28,208,3,27
2021,5,28,211,1,22
2021,5,28,211,2,32.5
2021,5,28,211,3,31.5
2021,5,28,212,1,165
2021,5,28,212,2,22.5
2021,5,28,212,3,21
2021,5,28,216,2,20.5
2021,5,28,216,3,21
2021,5,28,305,1,17
2021,5,28,305,2,26.5
2021,5,28,305,3,22
2021,5,28,306,1,27
2021,5,28,306,2,21
2021,5,28,306,3,16.5
2021,5,28,308,1,23
2021,5,28,308,2,22
2021,5,28,308,3,21
2021,5,28,311,1,18.5
2021,5,28,311,2,26.5
2021,5,28,311,3,19
2021,5,28,316,1,25.5
2021,5,28,316,2,19.5
2021,5,28,316,3,25.5
2021,5,28,318,1,22.5
2021,5,28,318,2,18
2021,5,28,318,3,24.5
2021,5,28,402,1,17
2021,5,28,402,2,23
2021,5,28,402,3,21.5
2021,5,28,404,1,19
2021,5,28,404,2,24
2021,5,28,404,3,31
2021,5,28,410,1,22
2021,5,28,410,2,22
2021,5,28,410,3,22.5
2021,5,28,416,1,23
2021,5,28,416,2,22
2021,5,28,416,3,29.5
2021,5,28,417,1,12.5
2021,5,28,417,2,17
2021,5,28,417,3,16
2021,5,28,418,1,24
2021,5,28,418,2,18
2021,5,28,418,3,20
2021,6,3,101,1,18.5
2021,6,3,101,2,22.5
2021,6,3,101,3,23
2021,6,3,103,1,23.4
2021,6,3,103,2,21.5
2021,6,3,103,3,38.5
2021,6,3,104,1,32
2021,6,3,104,2,41.3
2021,6,3,104,3,24.5
2021,6,3,111,1,35.5
2021,6,3,111,2,36
2021,6,3,111,3,33
2021,6,3,117,1,33
2021,6,3,117,2,36.5
2021,6,3,117,3,33
