Year,Month,Day,Variety,Treatment,Rep,Unit ID,FlowerWeight_g,TotalFreshWeight_g,DryFlowerWeight_g,TotalDryWeight_g
2020,9,16,Wife,0,1,118,20,27,4,9
2020,9,16,Wife,50,1,101,28,39,7,11
2020,9,16,Wife,100,1,115,25,35,7,12
2020,9,16,Wife,150,1,103,47,61,13,17
2020,9,16,Wife,200,1,108,57,69,15,20
2020,9,16,Wife,250,1,114,48,63,14,21
2020,9,16,Wife,0,2,215,26,44,7,15
2020,9,16,Wife,50,2,203,22,44,6,15
2020,9,16,Wife,100,2,214,15,28,4,10
2020,9,16,Wife,150,2,201,37,52,10,18
2020,9,16,Wife,200,2,211,40,58,11,18
2020,9,16,Wife,250,2,216,46,65,13,22
2020,9,16,Wife,0,3,305,24,41,8,14
2020,9,16,Wife,50,3,318,10,20,4,7
2020,9,16,Wife,100,3,306,16,27,5,9
2020,9,16,Wife,150,3,309,18,30,6,10
2020,9,16,Wife,200,3,302,15,30,5,11
2020,9,16,Wife,250,3,315,23,42,9,16
2020,9,16,Wife,0,4,412,22,32,6,11
2020,9,16,Wife,50,4,401,33,45,10,16
2020,9,16,Wife,100,4,402,20,27,6,9
2020,9,16,Wife,150,4,409,45,60,13,21
2020,9,16,Wife,200,4,417,52,66,13,22
2020,9,16,Wife,250,4,418,34,46,6,15
2020,8,7,NBS,0,1,,21,24,,7
2020,8,7,NBS,50,1,,24,27,,8
2020,8,7,NBS,100,1,,12,14,,5
2020,8,7,NBS,150,1,,44,54,,14
2020,8,7,NBS,200,1,,22,27,,9
2020,8,7,NBS,250,1,,30,35,,10
2020,8,7,NBS,0,2,,14,18,,6
2020,8,7,NBS,50,2,,28,34,,10
2020,8,7,NBS,100,2,,23,30,,9
2020,8,7,NBS,150,2,,31,40,,11
2020,8,7,NBS,200,2,,3,4,,3
2020,8,7,NBS,250,2,,18,25,,8
2020,8,7,NBS,0,3,,1,2,,1
2020,8,7,NBS,50,3,,19,23,,7
2020,8,7,NBS,100,3,,17,23,,8
2020,8,7,NBS,150,3,,26,34,,11
2020,8,7,NBS,200,3,,0.64,1.06,,0.74
2020,8,7,NBS,250,3,,29,40,,11
2020,8,7,NBS,0,4,,9,11,,4
2020,8,7,NBS,50,4,,23,28,,8
2020,8,7,NBS,100,4,,10,15,,5
2020,8,7,NBS,150,4,,29,37,,10
2020,8,7,NBS,200,4,,7,10,,4
2020,8,7,NBS,250,4,,28,36,,11
2020,8,7,MAV,0,1,,12,17,,6
2020,8,7,MAV,50,1,,25,33,,11
2020,8,7,MAV,100,1,,43,62,,19
2020,8,7,MAV,150,1,,33,50,,16
2020,8,7,MAV,200,1,,12,18,,5
2020,8,7,MAV,250,1,,47,60,,18
2020,8,7,MAV,0,2,,24,34,,11
2020,8,7,MAV,50,2,,35,46,,14
2020,8,7,MAV,100,2,,56,80,,23
2020,8,7,MAV,150,2,,39,57,,18
2020,8,7,MAV,200,2,,35,57,,18
2020,8,7,MAV,250,2,,18,28,,9
2020,8,7,MAV,0,3,,7,10,,4
2020,8,7,MAV,50,3,,22,29,,9
2020,8,7,MAV,100,3,,39,54,,15
2020,8,7,MAV,150,3,,45,57,,17
2020,8,7,MAV,200,3,,12,15,,5
2020,8,7,MAV,250,3,,37,48,,14
2020,8,7,MAV,0,4,,8,12,,4
2020,8,7,MAV,50,4,,20,25,,8
2020,8,7,MAV,100,4,,24,32,,9
2020,8,7,MAV,150,4,,31,44,,15
2020,8,7,MAV,200,4,,16,22,,9
2020,8,7,MAV,250,4,,17,24,,7
