Year,Month,Day,Unit,Induc_perc,FemaleOpen_perc
2020,6,23,101,100,0
2020,6,23,102,100,60
2020,6,23,103,100,0
2020,6,23,104,100,100
2020,6,23,105,100,0
2020,6,23,106,50,50
2020,6,23,107,100,50
2020,6,23,108,100,0
2020,6,23,109,66,33
2020,6,23,110,100,50
2020,6,23,111,100,50
2020,6,23,112,100,66
2020,6,23,113,100,40
2020,6,23,114,50,0
2020,6,23,115,66,0
2020,6,23,116,66,40
2020,6,23,117,66,0
2020,6,23,118,16,0
2020,6,23,201,100,0
2020,6,23,202,100,33
2020,6,23,203,83,0
2020,6,23,204,100,100
2020,6,23,205,100,50
2020,6,23,206,75,50
2020,6,23,207,100,25
2020,6,23,208,100,100
2020,6,23,209,100,66
2020,6,23,210,83,0
2020,6,23,211,50,0
2020,6,23,212,100,50
2020,6,23,213,66,0
2020,6,23,214,66,0
2020,6,23,215,66,0
2020,6,23,216,66,0
2020,6,23,217,100,100
2020,6,23,218,100,0
2020,6,23,301,25,100
2020,6,23,302,66,0
2020,6,23,303,100,100
2020,6,23,304,100,100
2020,6,23,305,100,0
2020,6,23,306,83,0
2020,6,23,307,100,50
2020,6,23,308,100,100
2020,6,23,309,80,0
2020,6,23,310,100,80
2020,6,23,311,50,0
2020,6,23,312,100,50
2020,6,23,313,100,75
2020,6,23,314,100,33
2020,6,23,315,50,0
2020,6,23,316,66,0
2020,6,23,317,100,50
2020,6,23,318,83,0
2020,6,23,401,100,0
2020,6,23,402,100,0
2020,6,23,403,100,66
2020,6,23,404,100,40
2020,6,23,405,100,100
2020,6,23,406,100,100
2020,6,23,407,100,50
2020,6,23,408,100,66
2020,6,23,409,83,0
2020,6,23,410,100,50
2020,6,23,411,100,100
2020,6,23,412,83,0
2020,6,23,413,75,66
2020,6,23,414,0,0
2020,6,23,415,100,75
2020,6,23,416,100,0
2020,6,23,417,83,0
2020,6,23,418,100,0
2020,6,30,101,100,0
2020,6,30,102,100,100
2020,6,30,103,100,0
2020,6,30,104,100,100
2020,6,30,105,100,100
2020,6,30,106,100,100
2020,6,30,107,100,100
2020,6,30,108,100,0
2020,6,30,109,100,66
2020,6,30,110,100,100
2020,6,30,111,100,100
2020,6,30,112,100,100
2020,6,30,113,100,100
2020,6,30,114,83,0
2020,6,30,115,100,0
2020,6,30,116,100,100
2020,6,30,117,100,66
2020,6,30,118,100,0
2020,6,30,201,100,0
2020,6,30,202,100,100
2020,6,30,203,100,0
2020,6,30,204,100,100
2020,6,30,205,100,100
2020,6,30,206,100,100
2020,6,30,207,100,100
2020,6,30,208,100,100
2020,6,30,209,100,100
2020,6,30,210,100,100
2020,6,30,211,100,0
2020,6,30,212,100,100
2020,6,30,213,100,66
2020,6,30,214,100,0
2020,6,30,215,100,0
2020,6,30,216,100,0
2020,6,30,217,100,100
2020,6,30,218,100,100
2020,6,30,301,100,100
2020,6,30,302,100,0
2020,6,30,303,100,100
2020,6,30,304,100,100
2020,6,30,305,100,0
2020,6,30,306,100,0
2020,6,30,307,100,100
2020,6,30,308,100,100
2020,6,30,309,100,0
2020,6,30,310,100,100
2020,6,30,311,100,100
2020,6,30,312,100,100
2020,6,30,313,100,100
2020,6,30,314,100,100
2020,6,30,315,100,0
2020,6,30,316,100,66
2020,6,30,317,100,100
2020,6,30,318,83,0
2020,6,30,401,100,0
2020,6,30,402,100,0
2020,6,30,403,100,100
2020,6,30,404,100,100
2020,6,30,405,100,100
2020,6,30,406,100,100
2020,6,30,407,100,100
2020,6,30,408,100,100
2020,6,30,409,83,0
2020,6,30,410,100,100
2020,6,30,411,100,100
2020,6,30,412,100,0
2020,6,30,413,100,100
2020,6,30,414,100,100
2020,6,30,415,100,100
2020,6,30,416,100,100
2020,6,30,417,100,0
2020,6,30,418,100,0
2020,7,7,101,100,66
2020,7,7,102,100,100
2020,7,7,103,100,0
2020,7,7,104,100,100
2020,7,7,105,100,100
2020,7,7,106,100,100
2020,7,7,107,100,100
2020,7,7,108,100,16
2020,7,7,109,100,66
2020,7,7,110,100,100
2020,7,7,111,100,100
2020,7,7,112,100,100
2020,7,7,113,100,100
2020,7,7,114,100,0
2020,7,7,115,100,0
2020,7,7,116,100,100
2020,7,7,117,100,100
2020,7,7,118,100,50
2020,7,7,201,100,0
2020,7,7,202,100,100
2020,7,7,203,100,0
2020,7,7,204,100,100
2020,7,7,205,100,100
2020,7,7,206,100,100
2020,7,7,207,100,100
2020,7,7,208,100,100
2020,7,7,209,100,100
2020,7,7,210,100,100
2020,7,7,211,100,0
2020,7,7,212,100,100
2020,7,7,213,100,100
2020,7,7,214,100,0
2020,7,7,215,100,0
2020,7,7,216,100,0
2020,7,7,217,100,100
2020,7,7,218,100,100
2020,7,7,301,100,100
2020,7,7,302,100,0
2020,7,7,303,100,100
2020,7,7,304,100,100
2020,7,7,305,100,33
2020,7,7,306,100,0
2020,7,7,307,100,100
2020,7,7,308,100,100
2020,7,7,309,100,0
2020,7,7,310,100,100
2020,7,7,311,100,100
2020,7,7,312,100,100
2020,7,7,313,100,100
2020,7,7,314,100,100
2020,7,7,315,100,0
2020,7,7,316,100,100
2020,7,7,317,100,100
2020,7,7,318,100,83
2020,7,7,401,100,75
2020,7,7,402,100,0
2020,7,7,403,100,100
2020,7,7,404,100,100
2020,7,7,405,100,100
2020,7,7,406,100,100
2020,7,7,407,100,100
2020,7,7,408,100,100
2020,7,7,409,100,0
2020,7,7,410,100,100
2020,7,7,411,100,100
2020,7,7,412,100,16
2020,7,7,413,100,100
2020,7,7,414,100,100
2020,7,7,415,100,100
2020,7,7,416,100,100
2020,7,7,417,100,0
2020,7,7,418,100,0
2020,7,14,101,100,50
2020,7,14,102,100,100
2020,7,14,103,100,0
2020,7,14,104,100,100
2020,7,14,105,100,100
2020,7,14,106,100,100
2020,7,14,107,100,100
2020,7,14,108,100,0
2020,7,14,109,100,100
2020,7,14,110,100,100
2020,7,14,111,100,100
2020,7,14,112,100,100
2020,7,14,113,100,100
2020,7,14,114,100,0
2020,7,14,115,100,0
2020,7,14,116,100,100
2020,7,14,117,100,100
2020,7,14,118,100,16
2020,7,14,201,100,100
2020,7,14,202,100,100
2020,7,14,203,100,0
2020,7,14,204,100,66
2020,7,14,205,100,0
2020,7,14,206,100,100
2020,7,14,207,100,100
2020,7,14,208,100,0
2020,7,14,209,100,100
2020,7,14,210,100,100
2020,7,14,211,100,100
2020,7,14,212,100,100
2020,7,14,213,100,100
2020,7,14,214,100,100
2020,7,14,215,100,100
2020,7,14,216,100,66
2020,7,14,217,80,100
2020,7,14,218,100,0
2020,7,14,301,100,100
2020,7,14,302,100,0
2020,7,14,303,100,100
2020,7,14,304,100,100
2020,7,14,305,100,16
2020,7,14,306,100,0
2020,7,14,307,100,100
2020,7,14,308,100,100
2020,7,14,309,100,0
2020,7,14,310,100,80
2020,7,14,311,100,80
2020,7,14,312,100,80
2020,7,14,313,100,100
2020,7,14,314,100,100
2020,7,14,315,100,0
2020,7,14,316,100,100
2020,7,14,317,100,100
2020,7,14,318,100,83
2020,7,14,401,100,83
2020,7,14,402,100,0
2020,7,14,403,100,100
2020,7,14,404,100,100
2020,7,14,405,100,100
2020,7,14,406,100,100
2020,7,14,407,100,100
2020,7,14,408,100,100
2020,7,14,409,100,0
2020,7,14,410,100,100
2020,7,14,411,100,100
2020,7,14,412,100,16
2020,7,14,413,100,100
2020,7,14,414,100,100
2020,7,14,415,100,100
2020,7,14,416,100,100
2020,7,14,417,100,0
2020,7,14,418,100,0
2020,7,23,101,100,50
2020,7,23,102,100,100
2020,7,23,103,100,0
2020,7,23,104,100,100
2020,7,23,105,100,100
2020,7,23,106,100,100
2020,7,23,107,100,100
2020,7,23,108,100,33
2020,7,23,109,100,100
2020,7,23,110,100,100
2020,7,23,111,100,100
2020,7,23,112,100,100
2020,7,23,113,100,100
2020,7,23,114,100,0
2020,7,23,115,100,0
2020,7,23,116,100,100
2020,7,23,117,100,100
2020,7,23,118,100,33
2020,7,23,201,100,0
2020,7,23,202,100,100
2020,7,23,203,100,66
2020,7,23,204,100,100
2020,7,23,205,100,100
2020,7,23,206,100,100
2020,7,23,207,100,100
2020,7,23,208,100,100
2020,7,23,209,100,100
2020,7,23,210,100,100
2020,7,23,211,100,0
2020,7,23,212,100,100
2020,7,23,213,100,100
2020,7,23,214,100,0
2020,7,23,215,100,83
2020,7,23,216,100,16
2020,7,23,217,100,100
2020,7,23,218,100,100
2020,7,23,301,100,100
2020,7,23,302,100,16
2020,7,23,303,100,100
2020,7,23,304,100,100
2020,7,23,305,100,33
2020,7,23,306,100,0
2020,7,23,307,100,100
2020,7,23,308,100,100
2020,7,23,309,100,0
2020,7,23,310,100,100
2020,7,23,311,100,75
2020,7,23,312,100,100
2020,7,23,313,100,100
2020,7,23,314,100,100
2020,7,23,315,100,0
2020,7,23,316,100,100
2020,7,23,317,100,100
2020,7,23,318,100,83
2020,7,23,401,100,83
2020,7,23,402,100,100
2020,7,23,403,100,100
2020,7,23,404,100,100
2020,7,23,405,100,100
2020,7,23,406,100,100
2020,7,23,407,100,100
2020,7,23,408,100,100
2020,7,23,409,100,0
2020,7,23,410,100,100
2020,7,23,411,100,100
2020,7,23,412,100,33
2020,7,23,413,100,100
2020,7,23,414,100,100
2020,7,23,415,100,100
2020,7,23,416,100,100
2020,7,23,417,100,0
2020,7,23,418,100,0
2020,7,28,101,100,100
2020,7,28,102,100,100
2020,7,28,103,100,16
2020,7,28,104,100,100
2020,7,28,105,100,100
2020,7,28,106,100,100
2020,7,28,107,100,100
2020,7,28,108,100,16
2020,7,28,109,100,100
2020,7,28,110,100,100
2020,7,28,111,100,100
2020,7,28,112,100,100
2020,7,28,113,100,100
2020,7,28,114,100,0
2020,7,28,115,100,50
2020,7,28,116,100,100
2020,7,28,117,100,100
2020,7,28,118,100,33
2020,7,28,201,100,0
2020,7,28,202,100,100
2020,7,28,203,100,50
2020,7,28,204,100,100
2020,7,28,205,100,100
2020,7,28,206,100,100
2020,7,28,207,100,100
2020,7,28,208,100,100
2020,7,28,209,100,100
2020,7,28,210,100,100
2020,7,28,211,100,0
2020,7,28,212,100,100
2020,7,28,213,100,100
2020,7,28,214,100,0
2020,7,28,215,100,83
2020,7,28,216,100,33
2020,7,28,217,100,100
2020,7,28,218,100,100
2020,7,28,301,100,100
2020,7,28,302,100,0
2020,7,28,303,100,100
2020,7,28,304,100,100
2020,7,28,305,100,66
2020,7,28,306,100,0
2020,7,28,307,100,100
2020,7,28,308,100,100
2020,7,28,309,100,0
2020,7,28,310,100,100
2020,7,28,311,100,100
2020,7,28,312,100,100
2020,7,28,313,100,100
2020,7,28,314,100,100
2020,7,28,315,100,0
2020,7,28,316,100,100
2020,7,28,317,100,100
2020,7,28,318,100,83
2020,7,28,401,100,83
2020,7,28,402,100,0
2020,7,28,403,100,100
2020,7,28,404,100,100
2020,7,28,405,100,100
2020,7,28,406,100,100
2020,7,28,407,100,100
2020,7,28,408,100,100
2020,7,28,409,100,0
2020,7,28,410,100,100
2020,7,28,411,100,100
2020,7,28,412,100,33
2020,7,28,413,100,100
2020,7,28,414,100,100
2020,7,28,415,100,100
2020,7,28,416,100,100
2020,7,28,417,100,0
2020,7,28,418,100,0
2020,8,4,101,100,100
2020,8,4,102,100,100
2020,8,4,103,100,66
2020,8,4,104,100,100
2020,8,4,105,100,100
2020,8,4,106,100,100
2020,8,4,107,100,100
2020,8,4,108,100,66
2020,8,4,109,100,100
2020,8,4,110,100,100
2020,8,4,111,100,100
2020,8,4,112,100,100
2020,8,4,113,100,100
2020,8,4,114,100,100
2020,8,4,115,100,100
2020,8,4,116,100,100
2020,8,4,117,100,100
2020,8,4,118,100,100
2020,8,4,201,100,66
2020,8,4,202,100,100
2020,8,4,203,100,100
2020,8,4,204,100,100
2020,8,4,205,100,100
2020,8,4,206,100,100
2020,8,4,207,100,100
2020,8,4,208,100,100
2020,8,4,209,100,100
2020,8,4,210,100,100
2020,8,4,211,100,66
2020,8,4,212,100,100
2020,8,4,213,100,100
2020,8,4,214,100,100
2020,8,4,215,100,100
2020,8,4,216,100,100
2020,8,4,217,100,100
2020,8,4,218,100,100
2020,8,4,301,100,100
2020,8,4,302,100,83
2020,8,4,303,100,100
2020,8,4,304,100,100
2020,8,4,305,100,100
2020,8,4,306,100,66
2020,8,4,307,100,100
2020,8,4,308,100,100
2020,8,4,309,100,60
2020,8,4,310,100,100
2020,8,4,311,100,100
2020,8,4,312,100,100
2020,8,4,313,100,100
2020,8,4,314,100,100
2020,8,4,315,100,83
2020,8,4,316,100,100
2020,8,4,317,100,100
2020,8,4,318,100,100
2020,8,4,401,100,100
2020,8,4,402,100,100
2020,8,4,403,100,100
2020,8,4,404,100,100
2020,8,4,405,100,100
2020,8,4,406,100,100
2020,8,4,407,100,100
2020,8,4,408,100,100
2020,8,4,409,100,83
2020,8,4,410,100,100
2020,8,4,411,100,100
2020,8,4,412,100,100
2020,8,4,413,100,100
2020,8,4,414,100,100
2020,8,4,415,100,100
2020,8,4,416,100,100
2020,8,4,417,100,66
2020,8,4,418,100,83
2020,8,18,101,100,100
2020,8,18,102,100,100
2020,8,18,103,100,100
2020,8,18,104,100,100
2020,8,18,105,100,100
2020,8,18,106,100,100
2020,8,18,107,100,100
2020,8,18,108,100,100
2020,8,18,109,100,100
2020,8,18,110,100,100
2020,8,18,111,100,100
2020,8,18,112,100,100
2020,8,18,113,100,100
2020,8,18,114,100,100
2020,8,18,115,100,100
2020,8,18,116,100,100
2020,8,18,117,100,100
2020,8,18,118,100,100
2020,8,18,201,100,100
2020,8,18,202,100,100
2020,8,18,203,100,100
2020,8,18,204,100,100
2020,8,18,205,100,100
2020,8,18,206,100,100
2020,8,18,207,100,100
2020,8,18,208,100,100
2020,8,18,209,100,100
2020,8,18,210,100,100
2020,8,18,211,100,100
2020,8,18,212,100,100
2020,8,18,213,100,100
2020,8,18,214,100,100
2020,8,18,215,100,100
2020,8,18,216,100,100
2020,8,18,217,100,100
2020,8,18,218,100,100
2020,8,18,301,100,100
2020,8,18,302,100,100
2020,8,18,303,100,100
2020,8,18,304,100,100
2020,8,18,305,100,100
2020,8,18,306,100,100
2020,8,18,307,100,100
2020,8,18,308,100,100
2020,8,18,309,100,100
2020,8,18,310,100,100
2020,8,18,311,100,100
2020,8,18,312,100,100
2020,8,18,313,100,100
2020,8,18,314,100,100
2020,8,18,315,100,100
2020,8,18,316,100,100
2020,8,18,317,100,100
2020,8,18,318,100,100
2020,8,18,401,100,100
2020,8,18,402,100,100
2020,8,18,403,100,100
2020,8,18,404,100,100
2020,8,18,405,100,100
2020,8,18,406,100,100
2020,8,18,407,100,100
2020,8,18,408,100,100
2020,8,18,409,100,100
2020,8,18,410,100,100
2020,8,18,411,100,100
2020,8,18,412,100,100
2020,8,18,413,100,100
2020,8,18,414,100,100
2020,8,18,415,100,100
2020,8,18,416,100,100
2020,8,18,417,100,100
2020,8,18,418,100,100
