Year,Month,Day,Variety,Treatment,Rep,Unit,TotalFreshWeight_g,TotalDryWeight_g,StemLeavesDryWeight_g,FlowerDryWeight_g
2020,9,16,Wife,0,1,118,160,46,33,13
2020,9,16,Wife,50,1,101,341,97,50,47
2020,9,16,Wife,100,1,115,492,189,137,52
2020,9,16,Wife,150,1,103,2320,667,396,271
2020,9,16,Wife,200,1,108,1800,511,270,241
2020,9,16,Wife,250,1,114,800,235,119,116
2020,9,16,Wife,0,2,215,154,49,22,27
2020,9,16,Wife,50,2,203,283,88,40,48
2020,9,16,Wife,100,2,214,802,265,132,133
2020,9,16,Wife,150,2,201,1500,457,209,248
2020,9,16,Wife,200,2,211,1820,546,215,331
2020,9,16,Wife,250,2,216,2400,715,331,384
2020,9,16,Wife,0,3,305,134,45,19,26
2020,9,16,Wife,50,3,318,120,40,20,20
2020,9,16,Wife,100,3,306,902,288,144,144
2020,9,16,Wife,150,3,309,840,266,126,140
2020,9,16,Wife,200,3,302,860,285,150,135
2020,9,16,Wife,250,3,315,1480,458,205,253
2020,9,16,Wife,0,4,412,125,39,9,30
2020,9,16,Wife,50,4,401,265,84,26,58
2020,9,16,Wife,100,4,402,583,208,106,102
2020,9,16,Wife,150,4,409,1240,394,167,227
2020,9,16,Wife,200,4,417,1880,573,313,260
2020,9,16,Wife,250,4,418,880,273,124,149
2020,8,7,NBS,0,1,,20,5,1.09,3.91
2020,8,7,NBS,50,1,,23,6,1.93,4.07
2020,8,7,NBS,100,1,,21,7,2.95,4.05
2020,8,7,NBS,150,1,,100,26,9.55,16.45
2020,8,7,NBS,200,1,,103,33,13.43,19.57
2020,8,7,NBS,250,1,,129,35,10.39,24.61
2020,8,7,NBS,0,2,,9,2,0.37,1.63
2020,8,7,NBS,50,2,,63,17,3.69,13.31
2020,8,7,NBS,100,2,,51,16,5.55,10.45
2020,8,7,NBS,150,2,,137,36,8.57,27.43
2020,8,7,NBS,200,2,,13,8,1.79,6.21
2020,8,7,NBS,250,2,,39,12,3.91,8.09
2020,8,7,NBS,0,3,,0.51,0.12,-0.09,0.21
2020,8,7,NBS,50,3,,12,4,1.63,2.37
2020,8,7,NBS,100,3,,70,25,6.9,18.1
2020,8,7,NBS,150,3,,110,30,7.53,22.47
2020,8,7,NBS,200,3,,2,0.57,-0.06,0.63
2020,8,7,NBS,250,3,,150,42,9.33,32.67
2020,8,7,NBS,0,4,,2,0.41,0.17,0.24
2020,8,7,NBS,50,4,,27,8,2,6
2020,8,7,NBS,100,4,,58,20,6,14
2020,8,7,NBS,150,4,,172,44,11,33
2020,8,7,NBS,200,4,,13,4,1,3
2020,8,7,NBS,250,4,,106,33,9,24
2020,8,7,Maverick,0,1,,22,7,1.86,5.14
2020,8,7,Maverick,50,1,,28,9,2.17,6.83
2020,8,7,Maverick,100,1,,156,44,12.25,31.75
2020,8,7,Maverick,150,1,,156,43,9.77,33.23
2020,8,7,Maverick,200,1,,9,2,0.39,1.61
2020,8,7,Maverick,250,1,,164,46,12.68,33.32
2020,8,7,Maverick,0,2,,89,26,3.8,22.2
2020,8,7,Maverick,50,2,,111,33,9.58,23.42
2020,8,7,Maverick,100,2,,194,60,7.75,52.25
2020,8,7,Maverick,150,2,,149,45,14.42,30.58
2020,8,7,Maverick,200,2,,182,53,14.95,38.05
2020,8,7,Maverick,250,2,,166,49,10.61,38.39
2020,8,7,Maverick,0,3,,6,2,1,1
2020,8,7,Maverick,50,3,,35,10,3,7
2020,8,7,Maverick,100,3,,159,42,14,28
2020,8,7,Maverick,150,3,,141,39,13,26
2020,8,7,Maverick,200,3,,28,8,3,5
2020,8,7,Maverick,250,3,,124,34,13,21
2020,8,7,Maverick,0,4,,3,0.87,0.66,0.21
2020,8,7,Maverick,50,4,,96,27,9.69,17.31
2020,8,7,Maverick,100,4,,92,24,10.36,13.64
2020,8,7,Maverick,150,4,,94,27,10.45,16.55
2020,8,7,Maverick,200,4,,41,19,7.18,11.82
2020,8,7,Maverick,250,4,,24,6,2.64,3.36
