Date,Variety,Treatment,Rep,TKN_ppm,P_ppm,K_ppm,B_ppm,Cu_ppm,Mn_ppm,Zn_ppm
2020-08-17,Wife,0,1,15025.5,7012,17169,66,5,282,182
2020-08-17,Wife,50,1,16066.75,6472.5,16121,65,5.5,210.91,161.82
2020-08-17,Wife,150,1,20667.5,3862.5,13053.5,39.5,6.5,155.38,75.38
2020-08-17,Wife,250,1,15074.5,3690,12212.5,39.5,5.5,260,69.09
2020-09-15,Wife,0,1,13601,6920,12543.5,75.5,6.5,233.85,180
2020-09-15,Wife,50,1,15125.25,6887,13720.5,70,7.5,174.67,161.33
2020-09-15,Wife,100,1,13112.75,5453,11290,74.5,5.5,198.18,192.73
2020-09-15,Wife,150,1,16829.75,4093,7859.5,50,5.5,289.09,89.09
2020-09-15,Wife,200,1,16878.75,3894,7590.5,47.5,6.5,303.08,70.77
2020-09-15,Wife,250,1,16793,3940.5,6275.5,48,6.5,361.54,75.38
2020-09-15,Wife,0,2,13933.5,7377,13091,70.5,10,154,114
2020-09-15,Wife,50,2,15669.5,7345.5,15161,67.5,7.5,176,153.33
2020-09-15,Wife,100,2,16646,6603,12893,69,9.5,134.74,117.89
2020-09-15,Wife,150,2,18112.5,4826,10079,50,9,194.44,63.33
2020-09-15,Wife,200,2,17902.5,4443.5,8263.5,54.5,7.5,244,81.33
2020-09-15,Wife,250,2,18007.5,4403.5,8858.5,49.5,11,198.18,60
