Year,Month,Day,Unit,Rep,Height_cm
2020,5,27,101,1,19
2020,5,27,101,2,14
2020,5,27,101,3,19
2020,5,27,101,4,44
2020,5,27,101,5,14
2020,5,27,101,6,35
2020,5,27,102,1,
2020,5,27,102,2,
2020,5,27,102,3,
2020,5,27,102,4,
2020,5,27,102,5,
2020,5,27,102,6,
2020,5,27,103,1,18
2020,5,27,103,2,41
2020,5,27,103,3,20
2020,5,27,103,4,20
2020,5,27,103,5,20
2020,5,27,103,6,30
2020,5,27,104,1,
2020,5,27,104,2,
2020,5,27,104,3,
2020,5,27,104,4,
2020,5,27,104,5,
2020,5,27,104,6,
2020,5,27,105,1,
2020,5,27,105,2,
2020,5,27,105,3,
2020,5,27,105,4,
2020,5,27,105,5,
2020,5,27,105,6,
2020,5,27,106,1,
2020,5,27,106,2,
2020,5,27,106,3,
2020,5,27,106,4,
2020,5,27,106,5,
2020,5,27,106,6,
2020,5,27,107,1,
2020,5,27,107,2,
2020,5,27,107,3,
2020,5,27,107,4,
2020,5,27,107,5,
2020,5,27,107,6,
2020,5,27,108,1,24
2020,5,27,108,2,16
2020,5,27,108,3,35
2020,5,27,108,4,44
2020,5,27,108,5,15
2020,5,27,108,6,42
2020,5,27,109,1,
2020,5,27,109,2,
2020,5,27,109,3,
2020,5,27,109,4,
2020,5,27,109,5,
2020,5,27,109,6,
2020,5,27,110,1,
2020,5,27,110,2,
2020,5,27,110,3,
2020,5,27,110,4,
2020,5,27,110,5,
2020,5,27,110,6,
2020,5,27,111,1,
2020,5,27,111,2,
2020,5,27,111,3,
2020,5,27,111,4,
2020,5,27,111,5,
2020,5,27,111,6,
2020,5,27,112,1,
2020,5,27,112,2,
2020,5,27,112,3,
2020,5,27,112,4,
2020,5,27,112,5,
2020,5,27,112,6,
2020,5,27,113,1,
2020,5,27,113,2,
2020,5,27,113,3,
2020,5,27,113,4,
2020,5,27,113,5,
2020,5,27,113,6,
2020,5,27,114,1,16
2020,5,27,114,2,14
2020,5,27,114,3,16
2020,5,27,114,4,25
2020,5,27,114,5,20
2020,5,27,114,6,25
2020,5,27,115,1,17
2020,5,27,115,2,25
2020,5,27,115,3,16
2020,5,27,115,4,34
2020,5,27,115,5,23
2020,5,27,115,6,18
2020,5,27,116,1,
2020,5,27,116,2,
2020,5,27,116,3,
2020,5,27,116,4,
2020,5,27,116,5,
2020,5,27,116,6,
2020,5,27,117,1,
2020,5,27,117,2,
2020,5,27,117,3,
2020,5,27,117,4,
2020,5,27,117,5,
2020,5,27,117,6,
2020,5,27,118,1,18
2020,5,27,118,2,40
2020,5,27,118,3,13
2020,5,27,118,4,32
2020,5,27,118,5,17
2020,5,27,118,6,30
2020,5,27,201,1,20
2020,5,27,201,2,36
2020,5,27,201,3,18
2020,5,27,201,4,35
2020,5,27,201,5,18
2020,5,27,201,6,36
2020,5,27,202,1,
2020,5,27,202,2,
2020,5,27,202,3,
2020,5,27,202,4,
2020,5,27,202,5,
2020,5,27,202,6,
2020,5,27,203,1,21
2020,5,27,203,2,28
2020,5,27,203,3,16
2020,5,27,203,4,41
2020,5,27,203,5,18
2020,5,27,203,6,34
2020,5,27,204,1,
2020,5,27,204,2,
2020,5,27,204,3,
2020,5,27,204,4,
2020,5,27,204,5,
2020,5,27,204,6,
2020,5,27,205,1,
2020,5,27,205,2,
2020,5,27,205,3,
2020,5,27,205,4,
2020,5,27,205,5,
2020,5,27,205,6,
2020,5,27,206,1,
2020,5,27,206,2,
2020,5,27,206,3,
2020,5,27,206,4,
2020,5,27,206,5,
2020,5,27,206,6,
2020,5,27,207,1,
2020,5,27,207,2,
2020,5,27,207,3,
2020,5,27,207,4,
2020,5,27,207,5,
2020,5,27,207,6,
2020,5,27,208,1,
2020,5,27,208,2,
2020,5,27,208,3,
2020,5,27,208,4,
2020,5,27,208,5,
2020,5,27,208,6,
2020,5,27,209,1,
2020,5,27,209,2,
2020,5,27,209,3,
2020,5,27,209,4,
2020,5,27,209,5,
2020,5,27,209,6,
2020,5,27,210,1,
2020,5,27,210,2,
2020,5,27,210,3,
2020,5,27,210,4,
2020,5,27,210,5,
2020,5,27,210,6,
2020,5,27,211,1,15
2020,5,27,211,2,20
