Unit,Variety,Treatment
101,Wife,50
102,NBS,200
103,Wife,150
104,Maverick,250
105,Maverick,0
106,Maverick,100
107,NBS,100
108,Wife,200
109,Maverick,150
110,Maverick,50
111,NBS,0
112,NBS,250
113,NBS,50
114,Wife,250
115,Wife,100
116,NBS,150
117,Maverick,200
118,Wife,0
201,Wife,150
202,Maverick,150
203,Wife,50
204,NBS,150
205,Maverick,200
206,NBS,0
207,Maverick,100
208,Maverick,50
209,NBS,50
210,Maverick,0
211,Wife,200
212,NBS,100
213,Maverick,250
214,Wife,100
215,Wife,0
216,Wife,250
217,NBS,250
218,NBS,200
301,NBS,0
302,Wife,200
303,NBS,150
304,Maverick,150
305,Wife,0
306,Wife,100
307,Maverick,200
308,NBS,200
309,Wife,150
310,NBS,100
311,Maverick,50
312,Maverick,0
313,Maverick,250
314,NBS,250
315,Wife,250
316,Maverick,100
317,NBS,50
318,Wife,50
401,Wife,50
402,Wife,100
403,Maverick,200
404,NBS,0
405,NBS,200
406,NBS,250
407,Maverick,250
408,Maverick,150
409,Wife,150
410,Maverick,100
411,NBS,150
412,Wife,0
413,NBS,50
414,Maverick,0
415,NBS,100
416,Maverick,50
417,Wife,200
418,Wife,250
