Year,Month,Day,Unit,Induc_perc,FemaleOpen_perc
2020,6,29,11,Y,0
2020,6,29,12,Y,0
2020,6,29,13,Y,0
2020,6,29,14,Y,0
2020,6,29,15,Y,0
2020,6,29,16,Y,0
2020,6,29,21,Y,0
2020,6,29,22,Y,0
2020,6,29,23,Y,0
2020,6,29,24,Y,0
2020,6,29,25,Y,0
2020,6,29,26,N,0
2020,6,29,31,N,0
2020,6,29,32,N,0
2020,6,29,33,Y,0
2020,6,29,34,Y,0
2020,6,29,35,Y,0
2020,6,29,36,N,0
2020,6,29,41,Y,0
2020,6,29,42,Y,0
2020,6,29,43,Y,0
2020,6,29,44,Y,0
2020,6,29,45,Y,0
2020,6,29,46,N,0
2020,7,1,11,Y,0
2020,7,1,12,Y,0
2020,7,1,13,Y,0
2020,7,1,14,Y,0
2020,7,1,15,Y,0
2020,7,1,16,Y,0
2020,7,1,21,Y,0
2020,7,1,22,Y,0
2020,7,1,23,Y,0
2020,7,1,24,Y,0
2020,7,1,25,Y,0
2020,7,1,26,Y,0
2020,7,1,31,Y,0
2020,7,1,32,Y,0
2020,7,1,33,Y,0
2020,7,1,34,Y,0
2020,7,1,35,Y,0
2020,7,1,36,N,0
2020,7,1,41,N,0
2020,7,1,42,Y,0
2020,7,1,43,Y,0
2020,7,1,44,Y,0
2020,7,1,45,Y,0
2020,7,1,46,Y,0
2020,7,3,11,Y,0
2020,7,3,12,Y,0
2020,7,3,13,Y,0
2020,7,3,14,Y,0
2020,7,3,15,Y,0
2020,7,3,16,Y,0
2020,7,3,21,Y,0
2020,7,3,22,Y,0
2020,7,3,23,Y,0
2020,7,3,24,Y,0
2020,7,3,25,Y,0
2020,7,3,26,Y,0
2020,7,3,31,Y,0
2020,7,3,32,Y,0
2020,7,3,33,Y,0
2020,7,3,34,Y,0
2020,7,3,35,Y,0
2020,7,3,36,N,0
2020,7,3,41,N,0
2020,7,3,42,Y,0
2020,7,3,43,Y,0
2020,7,3,44,Y,0
2020,7,3,45,Y,0
2020,7,3,46,Y,0
2020,7,6,11,Y,0
2020,7,6,12,Y,0
2020,7,6,13,Y,0
2020,7,6,14,Y,0
2020,7,6,15,Y,0
2020,7,6,16,Y,0
2020,7,6,21,Y,0
2020,7,6,22,Y,0
2020,7,6,23,Y,0
2020,7,6,24,Y,0
2020,7,6,25,Y,0
2020,7,6,26,Y,0
2020,7,6,31,Y,0
2020,7,6,32,Y,0
2020,7,6,33,Y,0
2020,7,6,34,Y,0
2020,7,6,35,Y,0
2020,7,6,36,N,0
2020,7,6,41,N,0
2020,7,6,42,Y,0
2020,7,6,43,Y,0
2020,7,6,44,Y,0
2020,7,6,45,Y,0
2020,7,6,46,Y,0
2020,7,8,11,Y,10
2020,7,8,12,Y,10
2020,7,8,13,Y,30
2020,7,8,14,Y,20
2020,7,8,15,Y,30
2020,7,8,16,Y,10
2020,7,8,21,Y,10
2020,7,8,22,Y,30
2020,7,8,23,Y,30
2020,7,8,24,Y,20
2020,7,8,25,Y,10
2020,7,8,26,Y,10
2020,7,8,31,Y,10
2020,7,8,32,Y,10
2020,7,8,33,Y,20
2020,7,8,34,Y,30
2020,7,8,35,Y,30
2020,7,8,36,Y,10
2020,7,8,41,Y,10
2020,7,8,42,Y,30
2020,7,8,43,Y,20
2020,7,8,44,Y,20
2020,7,8,45,Y,30
2020,7,8,46,Y,10
2020,7,10,11,Y,20
2020,7,10,12,Y,20
2020,7,10,13,Y,50
2020,7,10,14,Y,50
2020,7,10,15,Y,50
2020,7,10,16,Y,20
2020,7,10,21,Y,20
2020,7,10,22,Y,40
2020,7,10,23,Y,50
2020,7,10,24,Y,30
2020,7,10,25,Y,20
2020,7,10,26,Y,20
2020,7,10,31,Y,10
2020,7,10,32,Y,10
2020,7,10,33,Y,40
2020,7,10,34,Y,40
2020,7,10,35,Y,50
2020,7,10,36,Y,10
2020,7,10,41,Y,10
2020,7,10,42,Y,50
2020,7,10,43,Y,40
2020,7,10,44,Y,40
2020,7,10,45,Y,40
2020,7,10,46,Y,10
2020,7,13,11,Y,50
2020,7,13,12,Y,30
2020,7,13,13,Y,60
2020,7,13,14,Y,70
2020,7,13,15,Y,60
2020,7,13,16,Y,40
2020,7,13,21,Y,30
2020,7,13,22,Y,60
2020,7,13,23,Y,60
2020,7,13,24,Y,60
2020,7,13,25,Y,20
2020,7,13,26,Y,20
2020,7,13,31,Y,20
2020,7,13,32,Y,20
2020,7,13,33,Y,60
2020,7,13,34,Y,60
2020,7,13,35,Y,60
2020,7,13,36,Y,10
2020,7,13,41,Y,20
2020,7,13,42,Y,60
2020,7,13,43,Y,60
2020,7,13,44,Y,70
2020,7,13,45,Y,60
2020,7,13,46,Y,10
2020,7,15,11,Y,60
2020,7,15,12,Y,30
2020,7,15,13,Y,70
2020,7,15,14,Y,80
2020,7,15,15,Y,70
2020,7,15,16,Y,50
2020,7,15,21,Y,30
2020,7,15,22,Y,70
2020,7,15,23,Y,60
2020,7,15,24,Y,60
2020,7,15,25,Y,20
2020,7,15,26,Y,20
2020,7,15,31,Y,30
2020,7,15,32,Y,20
2020,7,15,33,Y,60
2020,7,15,34,Y,60
2020,7,15,35,Y,60
2020,7,15,36,Y,10
2020,7,15,41,Y,20
2020,7,15,42,Y,70
2020,7,15,43,Y,70
2020,7,15,44,Y,70
2020,7,15,45,Y,70
2020,7,15,46,Y,10
2020,7,17,11,Y,60
2020,7,17,12,Y,30
2020,7,17,13,Y,70
2020,7,17,14,Y,80
2020,7,17,15,Y,70
2020,7,17,16,Y,60
2020,7,17,21,Y,30
2020,7,17,22,Y,70
2020,7,17,23,Y,60
2020,7,17,24,Y,60
2020,7,17,25,Y,20
2020,7,17,26,Y,20
2020,7,17,31,Y,30
2020,7,17,32,Y,20
2020,7,17,33,Y,60
2020,7,17,34,Y,60
2020,7,17,35,Y,60
2020,7,17,36,Y,20
2020,7,17,41,Y,20
2020,7,17,42,Y,70
2020,7,17,43,Y,70
2020,7,17,44,Y,70
2020,7,17,45,Y,70
2020,7,17,46,Y,20
2020,7,20,11,Y,70
2020,7,20,12,Y,40
2020,7,20,13,Y,90
2020,7,20,14,Y,90
2020,7,20,15,Y,90
2020,7,20,16,Y,70
2020,7,20,21,Y,30
2020,7,20,22,Y,80
2020,7,20,23,Y,70
2020,7,20,24,Y,80
2020,7,20,25,Y,20
2020,7,20,26,Y,20
2020,7,20,31,Y,30
2020,7,20,32,Y,20
2020,7,20,33,Y,60
2020,7,20,34,Y,70
2020,7,20,35,Y,70
2020,7,20,36,Y,20
2020,7,20,41,Y,20
