Year,Month,Day,Unit,TotalFreshWeight_g,FlowerFreshWeight_g,TotalDryWeight_g_24,TotalDryWeight_g_48,FlowerDryWeight_g_48,DryStems&Leaves__48
2020,August,27,11,88,35,28,26,8,18
2020,August,27,12,267,78,146,94,18,76
2020,August,27,13,293,169,139,77,45,32
2020,August,27,14,164,99,67,42,22,20
2020,August,27,15,242,145,117,58,34,24
2020,August,27,16,41,15,25,23,8,15
2020,August,27,21,265,111,140,90,34,56
2020,August,27,22,114,73,42,27,17,10
2020,August,27,23,277,180,148,77,50,27
2020,August,27,24,32,17,9,8,4,4
2020,August,27,25,155,37,66,54,9,45
2020,August,27,26,241,82,108,81,18,63
2020,August,27,31,202,78,85,65,19,46
2020,August,27,32,284,84,125,95,16,79
2020,August,27,33,232,115,89,63,25,38
2020,August,27,34,155,94,61,41,23,18
2020,August,27,35,150,102,45,35,21,14
2020,August,27,36,66,12,27,26,3,23
2020,August,27,41,109,27,41,38,5,33
2020,August,27,42,206,134,70,47,27,20
2020,August,27,43,11,1,6,6,0,6
2020,August,27,44,262,153,114,58,28,30
2020,August,27,45,188,114,61,46,23,23
2020,August,27,46,37,7,20,20,3,17
