Year,Month,Day,Unit,Scaffolds,Sca_Internodes,NS_Inflo_Internodes,S_Inflo_Internodes,Total_Inflo_Internodes,Total_Internodes
2020,August,26,11,6,6,10,7,17,23
2020,August,26,12,17,17,5,10,15,32
2020,August,26,13,14,14,4,14,18,32
2020,August,26,14,15,15,3,10,13,28
2020,August,26,15,12,12,6,15,21,33
2020,August,26,16,13,13,4,12,16,29
2020,August,26,21,15,15,7,15,22,37
2020,August,26,22,13,13,4,13,17,30
2020,August,26,23,13,13,8,16,24,37
2020,August,26,24,12,12,3,9,12,24
2020,August,26,25,17,17,4,12,16,33
2020,August,26,26,19,19,6,13,19,38
2020,August,26,31,20,20,4,10,14,34
2020,August,26,32,20,20,3,11,14,34
2020,August,26,33,21,21,5,15,20,41
2020,August,26,34,17,17,4,16,20,37
2020,August,26,35,16,16,5,13,18,34
2020,August,26,36,16,16,2,9,11,27
2020,August,26,41,15,15,2,12,14,29
2020,August,26,42,12,12,4,6,10,22
2020,August,26,43,11,11,4,11,15,26
2020,August,26,44,11,11,4,16,20,31
2020,August,26,45,12,12,8,19,27,39
2020,August,26,46,16,16,2,9,11,27
